frame,activity_score,state
20,47.66,ACTIVE
21,43.2,ACTIVE
22,38.17,ACTIVE
23,37.41,ACTIVE
24,37.64,ACTIVE
25,37.22,ACTIVE
26,33.97,ACTIVE
27,31.57,ACTIVE
28,31.58,ACTIVE
29,27.96,ACTIVE
32,28.23,ACTIVE
33,29.09,ACTIVE
34,32.76,ACTIVE
35,36.27,ACTIVE
36,39.62,ACTIVE
37,42.05,ACTIVE
38,43.54,ACTIVE
39,43.54,ACTIVE
40,44.16,ACTIVE
41,46.28,ACTIVE
42,48.49,ACTIVE
43,48.65,ACTIVE
44,50.66,ACTIVE
45,50.88,ACTIVE
46,50.29,ACTIVE
47,50.16,ACTIVE
48,51.22,ACTIVE
49,51.25,ACTIVE
50,52.45,ACTIVE
51,52.37,ACTIVE
52,51.01,ACTIVE
53,49.98,ACTIVE
54,47.37,ACTIVE
55,44.95,ACTIVE
56,43.23,ACTIVE
57,42.89,ACTIVE
58,39.09,ACTIVE
59,37.04,ACTIVE
60,36.63,ACTIVE
61,34.66,ACTIVE
62,33.89,ACTIVE
63,34.48,ACTIVE
64,32.62,ACTIVE
65,31.73,ACTIVE
66,34.22,ACTIVE
67,34.75,ACTIVE
68,34.11,ACTIVE
69,35.68,ACTIVE
70,34.46,ACTIVE
71,35.09,ACTIVE
72,33.96,ACTIVE
73,34.64,ACTIVE
74,34.86,ACTIVE
75,33.94,ACTIVE
76,34.83,ACTIVE
77,36.03,ACTIVE
78,35.94,ACTIVE
79,36.52,ACTIVE
80,35.2,ACTIVE
81,34.99,ACTIVE
82,35.49,ACTIVE
83,36.07,ACTIVE
84,36.11,ACTIVE
85,36.38,ACTIVE
86,34.37,ACTIVE
87,34.96,ACTIVE
88,36.06,ACTIVE
89,34.8,ACTIVE
99,46.48,ACTIVE
105,48.88,ACTIVE
106,51.27,ACTIVE
107,50.79,ACTIVE
108,53.1,ACTIVE
109,52.63,ACTIVE
110,51.24,ACTIVE
111,48.04,ACTIVE
112,47.59,ACTIVE
113,47.24,ACTIVE
114,47.54,ACTIVE
115,51.72,ACTIVE
116,55.35,ACTIVE
117,56.42,ACTIVE
118,57.76,ACTIVE
119,57.53,ACTIVE
